"IdentityName","UserRightsAssignment","FriendlyName","GroupPolicyControlled","ComputerName","IdentitySid"
"BUILTIN\Print Operators","SeShutdownPrivilege","Shut down the system","True","WS2016DC","*S-1-5-32-550"
"BUILTIN\Backup Operators","SeShutdownPrivilege","Shut down the system","True","WS2016DC","*S-1-5-32-551"
"BUILTIN\Administrators","SeTakeOwnershipPrivilege","Take ownership of files or other objects","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeUndockPrivilege","Remove computer from docking station","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeEnableDelegationPrivilege","Enable computer and user accounts to be trusted for delegation","True","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeManageVolumePrivilege","Perform volume maintenance tasks","False","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeRemoteInteractiveLogonRight","Allow log on through Terminal Services","False","WS2016DC","*S-1-5-32-544"
"NT AUTHORITY\LOCAL SERVICE","SeImpersonatePrivilege","Impersonate a client after authentication","False","WS2016DC","*S-1-5-19"
"NT AUTHORITY\NETWORK SERVICE","SeImpersonatePrivilege","Impersonate a client after authentication","False","WS2016DC","*S-1-5-20"
"BUILTIN\Administrators","SeImpersonatePrivilege","Impersonate a client after authentication","False","WS2016DC","*S-1-5-32-544"
"NT AUTHORITY\SERVICE","SeImpersonatePrivilege","Impersonate a client after authentication","False","WS2016DC","*S-1-5-6"
"NT AUTHORITY\LOCAL SERVICE","SeCreateGlobalPrivilege","Create global objects","False","WS2016DC","*S-1-5-19"
"NT AUTHORITY\NETWORK SERVICE","SeCreateGlobalPrivilege","Create global objects","False","WS2016DC","*S-1-5-20"
"BUILTIN\Administrators","SeCreateGlobalPrivilege","Create global objects","False","WS2016DC","*S-1-5-32-544"
"NT AUTHORITY\SERVICE","SeCreateGlobalPrivilege","Create global objects","False","WS2016DC","*S-1-5-6"
"BUILTIN\Users","SeIncreaseWorkingSetPrivilege","Increase a process working set","False","WS2016DC","*S-1-5-32-545"
"NT AUTHORITY\LOCAL SERVICE","SeTimeZonePrivilege","Change the time zone","False","WS2016DC","*S-1-5-19"
"BUILTIN\Administrators","SeTimeZonePrivilege","Change the time zone","False","WS2016DC","*S-1-5-32-544"
"BUILTIN\Server Operators","SeTimeZonePrivilege","Change the time zone","False","WS2016DC","*S-1-5-32-549"
"BUILTIN\Administrators","SeCreateSymbolicLinkPrivilege","Create symbolic links","False","WS2016DC","*S-1-5-32-544"
"BUILTIN\Administrators","SeDelegateSessionUserImpersonatePrivilege",,"False","WS2016DC","*S-1-5-32-544"
"","SeCreateTokenPrivilege","Create a token object","False","WS2016DC",""
"","SeTrustedCredManAccessPrivilege","Access Credential Manager as a trusted caller","False","WS2016DC",""
"","SeDenyNetworkLogonRight","Deny access to this computer from the network","False","WS2016DC",""
"","SeDenyServiceLogonRight","Deny log on as a service","False","WS2016DC",""
"","SeSyncAgentPrivilege","Synchronize directory service data","False","WS2016DC",""
"","SeCreatePermanentPrivilege","Create permanent shared objects","False","WS2016DC",""
"","SeLockMemoryPrivilege","Lock pages in memory","False","WS2016DC",""
"","SeRelabelPrivilege","Modify an object label","False","WS2016DC",""
"","SeTcbPrivilege","Act as part of the operating system","False","WS2016DC",""
"","SeDenyBatchLogonRight","Deny log on as a batch job","False","WS2016DC",""
"","SeDenyRemoteInteractiveLogonRight","Deny log on through Terminal Services","False","WS2016DC",""
"","SeDenyInteractiveLogonRight","Deny log on locally","False","WS2016DC",""
